State, Location, Altitude
KARNATAKA,BALLARI,1503.0
ANDHRA PRADESH,DUVVURU,528.0
ANDHRA PRADESH,ELURU,69.0
MAHARASHTRA,MAHARASHTRA,1657.0
ANDHRA PRADESH,KURNOOL,935.0
ANDHRA PRADESH,PORUMAMILLA,587.0
TAMILNADU,CUMBAM,1388.0
TELANGANA,SATHUPALLY,548.0
ANDHRA PRADESH,RAJAHAMANDRY,118.0
ANDHRA PRADESH,MARKAPUR,518.0
ANDHRA PRADESH,S MYDUKUR,515.0
TELANGANA,KARIMNAGAR,915.0
TELANGANA,WARANGAL,869.0
ANDHRA PRADESH,GUNTUR,128.0
